system:index,dsnr,dur,mag,preval,rate,yod,.geo
17528,2.8504478931427,2.0,267.24169921875,477.7326354980469,133.620849609375,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.40799245267436,13.409161709907126]}"
17529,6.729579925537109,2.0,523.9430541992188,777.4351196289062,261.9715270996094,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.90855746765003,14.541754643850862]}"
17530,9.127346992492676,2.0,608.379638671875,643.976318359375,304.1898193359375,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.92277880475766,12.922198522175673]}"
17531,4.9606404304504395,1.0,315.0730285644531,623.1171264648438,315.0730285644531,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.32623418851206,14.20698424246642]}"
17532,17.58793067932129,1.0,480.3633117675781,864.3748779296875,480.3633117675781,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.71003103222824,15.270497622583367]}"
17533,21.207141876220703,1.0,516.5209350585938,816.4114990234375,516.5209350585938,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.4700047436661,14.02007128912939]}"
17534,5.13291072845459,1.0,209.90631103515625,321.0174255371094,209.90631103515625,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.8417697297243,14.78550591859439]}"
17535,5.979253768920898,2.0,577.677978515625,790.4590454101562,288.8389892578125,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.72944642951984,14.886821766521003]}"
17536,15.80042552947998,1.0,786.0965576171875,818.7119750976562,786.0965576171875,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.7693638016547,13.821876894777203]}"
17537,2.1208794116973877,1.0,327.54632568359375,627.5004272460938,327.54632568359375,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.37369919911364,14.882683640875097]}"
17538,5.117661476135254,2.0,561.7105712890625,808.7789306640625,280.85528564453125,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.89650911480501,12.979859963390957]}"
17539,3.074502468109131,1.0,237.56285095214844,776.1431274414062,237.56285095214844,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.96603035317406,13.263064272834079]}"
17540,5.9856181144714355,1.0,418.52337646484375,771.6636352539062,418.52337646484375,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.47211959025292,13.998932510143062]}"
17541,3.223759174346924,2.0,224.06329345703125,354.60992431640625,112.03164672851562,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.45869862692791,14.851277728015484]}"
17542,6.4031243324279785,1.0,306.9654846191406,860.8753051757812,306.9654846191406,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.56735570457997,14.254483707862892]}"
17543,54.53822326660156,2.0,233.5257110595703,350.96087646484375,116.76285552978516,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.47586726079734,14.80008751154944]}"
17544,8.151062965393066,2.0,483.8587951660156,750.0081176757812,241.9293975830078,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.69015166455195,16.50216912066651]}"
