magnitude,yod,coordinate,row,col,anthrome,prec_2001,prec_2002,prec_2003,prec_2004,prec_2005,prec_2006,prec_2007,prec_2008,prec_2009,prec_2010,prec_2011,prec_2012,prec_2013,pop_2001,pop_2002,pop_2003,pop_2004,pop_2005,pop_2006,pop_2007,pop_2008,pop_2009,pop_2010,pop_2011,pop_2012,pop_2013,Soil_Grid__bdod_mean,Soil_Grid__cec_mean,Soil_Grid__phh2o_mean,Soil_Grid__soc_mean,tmean_2001,tmean_2002,tmean_2003,tmean_2004,tmean_2005,tmean_2006,tmean_2007,tmean_2008,tmean_2009,tmean_2010,tmean_2011,tmean_2012,tmean_2013,label
466.1922607,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.05726956172462,12.228788717076577]}",8612,30846,25,1229,1029,1088,1377,1501,1105,1435,1303,1128,1131,1336,707,1190,1.250821114,1.26990664,1.17385757,1.185674667,1.225143433,1.418479681,2.089332104,1.660191178,1.50158906,1.481088996,1.103666067,0.960902989,1.078349233,144,290,69,64,35816,35860,32878,35787,35839,35817,35824,35781,35827,35870,35794,35887,35887,0
659.9490356,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09387988093326,12.198125331171923]}",8616,30851,12,1046,863,920,1196,1292,944,1227,1126,957,969,1178,619,1016,2.196600437,2.000886679,2.012771845,1.687779188,1.934798121,2.128611326,2.048427343,2.015742779,2.088835478,1.902947426,1.709571719,1.618180513,1.803331494,144,290,69,71,35835,35879,32895,35805,35858,35837,35839,35800,35845,35888,35815,35904,35907,0
270.4143677,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.80375674675248,13.311915337602201]}",8482,30936,12,951,697,567,960,1431,564,1090,1114,926,910,1013,621,982,6.494415283,6.316649437,4.876339436,5.782441616,6.12038517,5.655396938,5.996623039,5.714818001,5.277967453,4.006790161,5.003356934,4.706439495,4.949610233,141,138,67,57,35696,35723,32787,35660,35723,35690,35690,35648,35703,35745,35654,35770,35762,0
330.6803894,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.88945561231364,12.038275854807178]}",8635,30826,25,1192,1038,1056,1342,1359,1195,1437,1252,1108,1068,1326,678,1088,2.841925621,3.169575214,7.06202507,3.393203497,2.718470573,2.53394413,2.373754263,2.419449329,4.622240067,5.075107574,5.116210461,6.82461834,5.034484863,135,326,71,76,35749,35790,32813,35726,35771,35755,35764,35726,35769,35807,35738,35818,35819,0
428.2594299,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.79299299868761,13.570036334462964]}",8451,30935,25,894,689,520,860,1419,521,1036,1044,876,878,930,583,886,3.641670227,4.104159355,4.363264084,4.472730637,4.418297291,4.342041969,3.757718801,5.546192169,4.664543629,4.583587646,5.154642582,5.569566727,5.397171021,140,183,68,175,35729,35748,32818,35686,35747,35718,35721,35678,35738,35775,35689,35800,35786,0
347.649353,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.39477616196207,12.129996644931206]}",8624,30887,26,861,646,676,1020,1134,715,958,1026,758,862,1081,626,865,0.915479124,0.867703676,0.838462591,0.851296484,0.793435097,0.777459264,0.827052593,0.767980218,0.770086408,0.802727997,0.854887307,0.560988069,0.687286019,142,314,70,72,35893,35944,32949,35863,35915,35889,35892,35856,35899,35945,35874,35970,35969,0
328.661377,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.33992739126339,12.074510765426652]}",8631,30880,25,1150,853,931,1289,1494,936,1260,1236,995,1103,1360,759,1113,1.448480487,1.517261267,1.247742534,1.319049716,1.419881701,1.395991206,1.3896451,1.358813882,1.337100267,1.27951479,1.19892931,0.717131019,0.945465207,136,272,66,89,35771,35825,32838,35741,35793,35768,35775,35738,35777,35826,35756,35850,35850,1
318.122467,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.13645152356895,12.365304365245764]}",8596,30856,22,980,813,819,1086,1275,821,1154,1112,899,898,1080,596,967,1.000704408,0.931548715,0.966404736,0.796283841,0.875116825,0.891426802,0.902346671,0.923215628,0.867764533,0.947392106,0.728853881,1.350873113,1.235926151,145,265,69,61,35863,35908,32927,35838,35892,35867,35873,35828,35872,35917,35837,35936,35941,0
340.784668,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09650608504694,11.95551383451524]}",8645,30851,32,1082,876,964,1219,1331,1009,1303,1041,995,1004,1182,625,1040,1.766834617,1.752349019,1.648071885,1.520990968,1.764878273,1.59690249,1.632620573,1.834256291,1.682157516,1.799167395,1.576815605,1.622320175,1.649932981,136,296,68,79,35789,35839,32848,35762,35806,35790,35798,35759,35802,35846,35778,35864,35860,0
302.494812,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.23750150594309,13.602167343667498]}",8447,30868,25,741,619,479,724,1196,534,978,965,838,950,814,534,815,3.154773474,3.206786156,3.280636311,2.531683445,3.393001318,3.390555859,2.986755371,3.728960037,4.414618015,4.652073383,4.102676868,5.327326775,3.976159811,142,216,72,80,35780,35802,32874,35744,35791,35777,35778,35721,35784,35826,35736,35843,35840,0
